SIGNAL_NAME,Lat,Lng
UP GTW HOME,2203.21740,8214.80720
UP GTW INT HOME,2203.36420,8214.21010
UP GTW STR,2203.14570,8213.50640
UP GTW ADV STR,2203.08910,8213.38310
UP A:AJ5,2202.82270,8212.56880
UP A:AJ1,2202.92910,8211.97480
UP BSP HOME,2203.08280,8211.36080
UP BSP INT HOME,2203.13560,8211.14890
UP BSP STR,2203.39940,8210.13860
UP BSP INT STR,2203.54410,8209.56100
UP BSP INT STR,2203.49520,8208.54680
UP BSP ADV STR,2203.27180,8208.36360
UP NEU SEC,2203.04690,8208.19430
UP A:AR1,2202.85450,8208.05180
UP DPH HOME,2202.43090,8207.74310
UP DPH STR,2201.55490,8207.33050
UP DPH ADV STR,2201.25910,8207.20450
UP A:AR5,2200.38410,8206.83000
UP CHBT PH,2200.10480,8206.63570
UP A:AR9,2159.92040,8206.48580
UP A:AR13,2159.48420,8206.11760
UP A:AR17,2159.03620,8205.73820
UP SA G:AR21,2158.59760,8205.36910
UP L XING:372,2158.50850,8205.29980
UP BYL HOME,2158.24450,8205.07710
UP BYL STR,2157.57480,8204.50390
UP L XING:373,2157.50630,8204.45260
UP BYL ADV STR,2157.31400,8204.30710
UP SA G:AR25,2156.93850,8204.22770
UP L XING:374,2156.81040,8204.22460
UP A:AR29,2156.37970,8204.20890
UP A:AR33,2155.84750,8204.19040
UP SA G:AR37,2155.29380,8204.17160
UP L XING:375,2155.17110,8204.17040
UP DGS HOME,2154.95090,8204.16250
UP DGS STR,2154.22250,8204.13470
UP DGS ADV STR,2153.91050,8204.14350
UP SA G:AR41,2153.77190,8204.16350
UP L XING:376,2153.63480,8204.18350
UP A:AR45,2153.13070,8204.25470
UP A:AR49,2152.50520,8204.29030
UP A:AR57,2151.74910,8204.09870
UP A:AR61,2151.27520,8203.77580
UP NEU SEC,2151.09510,8203.65200
UP A:AR65,2150.65160,8203.36280
UP NPI HOME,2150.08110,8202.99900
UP NPI STR,2149.38280,8202.54780
UP NPI ADV STR,2149.14440,8202.39690
UP SA G:AR75,2148.47450,8201.96130
UP L XING:379,2148.31500,8201.86030
UP A:AR79,2147.96770,8201.50190
UP SA G:AR83,2147.64610,8200.98350
UP L XING:380,2147.55720,8200.84810
UP A:AR87,2147.33940,8200.48960
UP A:AR91,2147.03520,8200.00190
UP A:AR95,2146.72650,8159.52850
UP SA G:AR99,2146.33340,8159.13410
UP L XING:382,2146.21040,8159.01800
UP A:AR103,2145.84350,8158.64740
UP A:AR107,2145.34810,8158.15510
UP A:AR111,2144.87850,8157.68760
UP NEU SEC,2144.73180,8157.53570
UP BYT HOME,2144.32700,8157.14250
UP BYT STR,2143.80270,8156.61190
UP BYT INT STR,2143.35980,8156.18010
UP L XING:385,2143.29940,8156.12010
UP BYT ADV STR,2143.21310,8156.03360
UP GATE SIG,2142.57210,8155.39550
UP L XING:386,2142.50070,8155.32510
UP IB DIST,2141.47530,8154.30460
UP IB-INR-DIST,2141.06160,8153.89450
UP IBH SIG,2140.65340,8153.48820
UP L XING:389,2140.12300,8152.96190
UP HN EAST DIST,2139.77640,8152.61810
UP HN INNR DIST,2139.37860,8152.22260
UP HN EAST HOME,2138.85800,8151.70450
UP L XING:390,2138.62250,8151.46140
UP HN HOME,2138.27950,8151.12930
UP HN STR,2137.81370,8150.67080
UP L XING:391,2137.72900,8150.58100
UP HN ADV STR,2137.57690,8150.43010
UP GATE SIG,2137.20060,8150.05460
UP L XING:392,2137.12890,8149.98330
UP IB DIST,2136.94490,8149.79980
UP IB-INR-DIST,2136.51940,8149.37740
UP IBH SIG,2136.11100,8148.97160
UP GATE INNR DIST,2135.68880,8148.55150
UP L XING:394,2135.61870,8148.48330
UP GATE SIG,2135.23510,8148.28160
UP L XING:395,2135.08650,8148.24210
UP TLD DIST,2134.89200,8148.18890
UP TLD INNR DIST,2134.32940,8148.03460
UP NEU SEC,2134.13950,8147.98560
UP TLD HOME,2133.67570,8147.85490
UP TLD STR,2132.90610,8147.64640
UP L XING:398,2132.81510,8147.62060
UP TLD ADV STR,2132.72960,8147.59660
UP GATE SIG,2132.11990,8147.42220
UP L XING:399,2131.99430,8147.39450
UP BKTHE INNR DIST,2131.58040,8147.27970
UP BKTHE HOME,2130.96700,8147.11130
UP BKTHE STR,2130.43290,8146.96580
