SIGNAL_NAME,Lat,Lng
DN GJ ADV STR,2126.68130,8004.14820
DN AUTO SIGNAL 122,2126.96110,8004.85650
DN AUTO SIGNAL 124,2127.17840,8005.41130
DN SA G:A126,2127.39200,8005.95620
DN L XING,2127.43690,8006.07070
DN SA G:A128,2127.78760,8006.96830
DN AUTO SIGNAL 130,2127.92990,8007.55640
DN AUTO SIGNAL 132,2127.90740,8008.21410
DN SA G:A134,2127.87170,8008.87130
DN L XING,2127.86490,8008.99400
DN SA G:A136,2127.83880,8009.46050
DN L XING,2127.83240,8009.58030
DN SA G:A138,2127.80050,8010.15660
DN L XING,2127.79450,8010.27650
DN G HOME,2127.77850,8010.63520
DN L XING,2127.76730,8010.79770
DN G INT HOME,2127.75320,8010.94320
DN G STR,2127.70840,8011.71610
DN G INT STR,2127.70690,8011.93450
DN G ADV STR,2127.69970,8012.22230
DN SA G:A142,2127.68730,8012.54710
DN L XING,2127.68240,8012.66900
DN NEU SEC,2127.67120,8012.94680
DN AUTO SIGNAL 144,2127.64670,8013.68750
DN AUTO SIGNAL 146,2127.48220,8014.23910
DN SA G:A148,2127.11920,8014.71380
DN L XING,2127.05940,8014.77770
DN AUTO SIGNAL 150,2126.56400,8015.30950
DN AUTO SIGNAL 152,2126.16950,8015.73130
DN SA G:A154,2125.78730,8016.14040
DN L XING,2125.72080,8016.21690
DN GDM HOME,2125.37290,8016.66530
DN GDM STR,2124.86200,8017.33750
DN GDM ADV STR,2124.72780,8017.51390
DN SA G:A158,2124.02820,8018.43350
DN L XING,2123.95590,8018.52840
DN AUTO SIGNAL 160,2123.67760,8018.89390
DN SA G:A162,2123.22120,8019.55050
DN L XING,2123.15880,8019.67340
DN AUTO SIGNAL 164,2122.90440,8020.17700
DN SA G:A166,2122.43390,8021.10850
DN NEU SEC,2122.39670,8021.17820
DN L XING,2122.37290,8021.22530
DN AGN HOME,2121.97140,8021.97440
DN AGN STR,2121.62980,8022.53770
DN L XING,2121.54880,8022.72800
DN AGN ADV STR,2121.51130,8022.81870
DN SA G:A168,2120.79210,8023.61270
DN L XING,2120.69310,8023.68890
DN SA G:A170,2120.26760,8024.01850
DN L XING,2120.19810,8024.07050
DN AUTO SIGNAL 172,2119.64430,8024.50950
DN DNL HOME,2119.42950,8025.15800
DN DNL STR,2119.30390,8025.66870
DN DNL ADV STR,2119.25640,8025.86100
DN AUTO SIGNAL 178,2118.97500,8026.32720
DN SA G:A180,2118.63810,8026.78320
DN L XING,2118.57480,8026.87110
DN AUTO SIGNAL 182,2118.35400,8027.27110
DN SA G:A184,2118.13390,8027.71280
DN L XING,2118.10510,8027.83100
DN SA G:A186,2118.08840,8028.79540
DN L XING,2118.08750,8028.90150
DN SKS HOME,2118.08520,8029.13310
DN L XING,2118.07560,8029.31100
DN SKS STR,2118.06160,8029.84240
DN SKS ADV STR,2118.02510,8029.98670
DN SA G:A188,2117.92740,8030.34600
DN L XING,2117.89290,8030.47300
DN NEU SEC,2117.79340,8030.83260
DN AUTO SIGNAL 190,2117.72750,8031.07190
DN AUTO SIGNAL 192,2117.46940,8031.50090
DN SA G:A194,2116.73470,8032.50740
DN L XING,2116.65930,8032.58520
DN AUTO SIGNAL 196,2116.06100,8033.32470
DN DKS HOME,2116.51030,8034.57780
DN L XING,2116.38170,8034.71240
DN DKS STR,2116.08220,8035.00000
DN DKS ADV STR,2115.91670,8035.15880
DN AUTO SIGNAL 202,2115.36870,8035.78980
DN SA G:A204,2114.86300,8036.01440
DN L XING,2114.75090,8036.06520
DN AUTO SIGNAL 206,2114.32840,8036.39180
