Station_Name,Start_Lat ,Start_Lng,End_Lat ,End_Lng
RJN,2106.21000,8101.68730,2106.02040,8102.67770
RNBT,2019.19100,8306.12640,2019.79340,8305.31100
ROB,2159.57840,8310.10260,2159.43420,8311.31950
RRL,2115.57990,7928.24070,2115.49010,7928.43830
RSA,2103.09540,8119.41690,2103.80290,8119.55940
RSD,2116.06890,8139.09800,2117.13420,8139.08770
RSM,2112.16450,8112.48340,2112.21720,8113.65670
RVH,2115.79160,8139.62070,2116.10640,8138.59010
SAL,2114.18260,7916.97050,2114.14920,7918.06190
SBRA,2242.19470,8154.53120,2242.91600,8154.49260
SGRD,2201.35840,8243.89970,2201.16130,8244.97820
SHIT,2029.43370,8104.65490,2029.43370,8104.65490
SKS,2118.08520,8029.13310,2118.02510,8029.98670
SKSO,2052.13290,8117.16940,2052.13290,8117.16940
SKT,2200.66440,8256.86600,2200.75770,8257.99430
SLH,2125.16380,8145.18010,2126.13620,8145.49800
SLKR,2221.40640,8200.47670,2222.29150,8200.70730
SPGCL,2159.88600,8312.30300,2200.04260,8312.80310
SRBA,2212.27090,8243.91250,2213.18200,8244.02190
SVNI,2202.91530,8240.91820,2203.39520,8241.14090
SWRN,2115.13630,8136.27890,2115.13630,8136.27890
SZB,2115.12340,8133.81000,2115.26240,8134.89640
TAR,2115.24560,7924.46260,2115.55520,7925.36550
TDOK,1957.77230,8107.68610,1957.77230,8107.68610
TGQ,2230.16500,8200.02450,2230.74420,8159.40920
TIG,2017.15770,8309.14160,2017.39290,8308.77970
TLD,2132.66000,8147.57320,2133.61860,8147.83830
TMR,2119.98290,7944.60990,2120.72700,7945.43350
TRKR,2033.34710,8249.16250,2034.07660,8248.62930
TRO,2124.68500,7954.44640,2124.96270,7955.44330
UGNR,2112.81380,8146.82350,2112.81380,8146.82350
URGA,2215.79060,8244.18180,2216.53680,8244.10410
URK,2117.22690,8138.63080,2118.19330,8139.50480
USL,2205.40760,8207.16050,2206.64590,8206.50070
WRS,2116.66700,8138.33680,2116.66700,8138.33680
