SIGNAL_NAME,Lat,Lng
DN MID SA G:AR78,2148.13130,8201.72270
DN MID L XING:379,2148.28180,8201.83000
DN MID A:AR74,2148.60990,8202.04230
DN MID NPI HOME,2149.04960,8202.32560
DN MID NPI STR,2149.74030,8202.76310
DN MID NPI ADV STR,2150.07100,8202.98580
DN MID A:AR64,2150.69350,8203.38880
DN MID NEU SEC,2150.99040,8203.57760
DN MID A:AR60,2151.14950,8203.68420
DN MID A:AR56,2151.87070,8204.13190
DN MID A:AR48,2152.83300,8204.29460
DN MID SA G:AR44,2153.46420,8204.20400
DN MID L XING:376,2153.60090,8204.18700
DN MID DGS HOME,2153.77060,8204.16250
DN MID DGS STR,2154.64500,8204.15030
DN MID DGS ADV STR,2154.88190,8204.15820
DN MID SA G:AR40,2155.03810,8204.16150
DN MID L XING:375,2155.13740,8204.16690
DN MID A:AR36,2155.61820,8204.18090
DN MID A:AR32,2156.16320,8204.19900
DN MID SA G:AR28,2156.65240,8204.21580
DN MID L XING:374,2156.78020,8204.22160
DN MID BYL HOME,2157.13080,8204.23920
DN MID L XING:373,2157.47460,8204.42480
DN MID BYL STR,2157.97000,8204.84370
DN MID BYL ADV STR,2158.17990,8205.01850
DN MID SA G:AR24,2158.38020,8205.18110
DN MID L XING:372,2158.48900,8205.27920
DN MID A:AR20,2158.93120,8205.64690
DN MID A:AR16,2159.38090,8206.02580
DN MID A:AR12,2200.07380,8206.61180
DN MID A:AR8,2200.57360,8206.90620
DN MID DPH HOME,2201.12920,8207.14250
DN MID DPH STR,2201.97690,8207.50340
DN MID DPH ADV STR,2202.31220,8207.66010
DN MID A:AR4,2202.73480,8207.96380
DN MID NEU SEC,2202.95820,8208.12840
DN MID BSP HOME,2203.11200,8208.24560
DN MID BSP INT HOME,2203.66840,8209.02000
DN MID BSP INT HOME,2203.47680,8209.88670
DN MID BSP STR,2203.31820,8210.48550
DN MID BSP ADV STR,2203.15780,8211.07850
DN MID A:AJ4,2203.01530,8211.63730
DN MID A:AJ8,2202.83280,8212.38060
DN MID GTW HOME,2202.98990,8213.13300
DN MID GTW STR,2203.28160,8213.82950
DN MID GTW INT STR,2203.34340,8214.43930
DN MID GTW ADV STR,2203.28560,8214.64190
DN MID A:AJ12,2203.02120,8215.28060
DN MID A:AJ16,2202.78520,8215.85330
DN MID A:AJ20,2202.53040,8216.46460
DN MID NEU SEC AHEAD,2202.36880,8216.85240
DN MID JRMG HOME,2202.26910,8217.09380
DN MID JRMG STR,2202.03600,8217.92760
DN MID L XING:360,2201.99980,8218.12270
DN MID JRMG ADV STR,2202.00660,8218.09340
DN MID A:AJ24,2201.90200,8218.83040
DN MID A:AJ28,2201.80350,8219.54730
DN MID A:AJ32,2201.59480,8220.24010
DN MID A:AJ36,2201.41070,8220.91480
DN MID KTSH PH,2201.43480,8221.35340
DN MID A:AJ40,2201.45650,8221.62510
DN MID A:AJ44,2201.51020,8222.29520
DN MID A:AJ48,2201.56360,8222.95620
DN MID L XING:355,2201.57540,8223.07310
DN MID LATIA HOME,2201.62690,8223.74270
DN MID L XING:354,2201.64550,8223.98290
DN MID LATIA STR,2201.65960,8224.13850
DN MID AKT HOME,2201.70370,8224.69030
DN MID AKT STR,2201.76480,8225.44870
DN MID AKT ADV STR,2201.81250,8225.54240
DN MID A:AJ54,2201.87480,8226.15470
DN MID SAG:AJ58,2201.95600,8226.59820
DN MID A:AJ62,2202.06970,8227.32600
DN MID A:AJ66,2201.93110,8227.99510
DN MID A:AJ70,2201.75810,8228.67120
DN MID SAG:AJ74,2201.60110,8229.28400
DN MID KPNA PH,2201.57600,8229.37460
DN MID A:AJ78,2201.58750,8230.05360
DN MID NEU SEC AHEAD,2201.61400,8230.50030
DN MID A:AJ82,2201.64150,8230.86450
DN MID A:AJ86,2201.68990,8231.60000
DN MID A:AJ90,2201.60820,8232.37600
DN MID NIA HOME,2201.49830,8233.12780
DN MID L XING:345,2201.44200,8233.53880
DN MID NIA STR,2201.38270,8233.99440
DN MID NIA ADV STR,2201.32940,8234.31330
DN MID A:AJ94,2201.23260,8235.01170
DN MID A:AJ98,2201.19700,8235.63610
DN MID A:AJ102,2201.20410,8236.38330
DN MID A:AJ106,2201.20960,8236.96610
DN MID A:AJ110,2201.21490,8237.58760
DN MID A:AJ114,2201.36980,8238.15460
DN MID A:AJ118,2201.67240,8238.65930
DN MID CPH HOME,2201.99320,8239.13430
DN MID L XING:338,2202.08250,8239.40120
DN MID CPH STR,2202.06150,8239.98960
DN MID CPH ADV STR,2201.96790,8240.54550
DN MID NEU SEC,2201.90800,8240.88300
DN MID SA G:AJ502,2201.87290,8241.05450
DN MID L XING:336,2201.85120,8241.17540
DN MID SA G:AJ504,2201.78830,8241.52500
DN MID L XING:335,2201.76610,8241.64890
DN MID A:AJ506,2201.64520,8242.31690
DN MID SA G:AJ508,2201.50360,8243.09770
DN MID L XING:334,2201.46730,8243.29820
DN MID SRGD HOME,2201.35840,8243.89970
DN MID SRGD STR,2201.20530,8244.73400
DN MID SRGD ADV STR,2201.18160,8244.86540
DN MID BUA DIST,2200.90420,8247.15550
DN MID BUA INNR DIST,2200.83840,8247.74000
DN MID BUA HOME,2200.77310,8248.32160
DN MID BUA STR,2200.70180,8248.96750
DN MID L XING:328,2200.68450,8249.03160
DN MID BUA ADV STR,2200.68810,8249.17780
DN MID GATE DIST,2200.95680,8251.58220
DN MID GATE INNR DIST,2200.97760,8252.18970
DN MID GATE SIG,2200.98100,8252.76120
DN MID L XING:324,2200.98150,8252.88280
DN MID SKT DIST,2200.59470,8255.60680
DN MID SKT INNR DIST,2200.61220,8256.22600
DN MID SKT HOME,2200.65960,8256.80930
DN MID SKT STR,2200.72290,8257.55750
DN MID L XING:321,2200.72720,8257.64230
DN MID SKT ADV STR,2200.75500,8257.97990
DN MID L XING:320,2200.76230,8258.09160
DN MID JDI DIST,2200.31280,8301.50070
DN MID NEU SEC,2200.24130,8301.86890
DN MID JDI INNR DIST,2200.19930,8302.08360
DN MID JDI HOME,2200.08730,8302.66180
DN MID JDI STR,2159.95200,8303.36000
DN MID L XING:306,2159.90930,8303.57870
DN MID KHS DIST,2159.77780,8304.25990
DN MID KHS INNR DIST,2159.64770,8304.85820
DN MID KHS HOME,2159.50700,8305.42320
DN MID L XING:310,2159.45300,8305.78230
DN MID KHS STR,2159.56250,8306.36330
DN MID KHS ADV STR,2159.59370,8306.49220
DN MID GATE INNR DIST,2159.69790,8306.93740
DN MID GATE SIG,2159.82950,8307.48320
DN MID L XING:311,2159.85330,8307.60890
DN MID NEU SEC,2159.88800,8308.40990
DN MID ROB DIST,2159.86030,8308.94820
DN MID ROB INNR DIST,2159.75950,8309.55830
DN MID ROB HOME,2159.57840,8310.10260
DN MID ROB STR,2159.38880,8311.16600
DN MID L XING:305,2159.42540,8311.29630
DN MID ROB ADV STR,2159.43420,8311.31950
DN MID SPGL INNR DIST,2159.64770,8311.78740
DN MID SPGL HOME,2159.88600,8312.30300
DN MID L XING:303,2159.93450,8312.40800
DN MID SPGL STR,2159.98620,8313.24300
DN MID SPGL ADV STR,2159.91860,8313.39740
DN MID GATE SIG,2159.72580,8313.69740
DN MID L XING:301,2159.66960,8313.78270
DN MID BEF DIST,2159.38890,8314.20790
DN MID BEF INNR DIST,2159.06920,8314.69240
DN MID BEF HOME,2158.74440,8315.18330
DN MID L XING:299,2158.63520,8315.34860
DN MID BEF STR,2158.35190,8315.78190
DN MID L XING:298,2158.30020,8315.86090
DN MID BEF INT STR,2158.17680,8316.05280
DN MID BEF ADV STR,2158.02680,8316.28090
DN MID NEU SEC,2157.92630,8316.41680
DN MID GATE SIG,2157.74590,8316.70060
DN MID L XING:297,2157.68030,8316.79300
DN MID KDTR DIST,2156.71110,8318.25720
DN MID KDTR INNR DIST,2156.39980,8318.72740
DN MID KDTR HOME,2156.07830,8319.21230
DN MID L XING:293,2156.02300,8319.29570
DN MID KDTR STR,2155.51350,8320.05930
DN MID KDTR ADV STR,2155.41830,8320.20220
DN MID JSPL INNR DIST,2155.06250,8320.74350
DN MID JSPL HOME,2154.74200,8321.22690
DN MID JSPL STR,2154.58090,8321.46980
DN MID JSPL ADV STR,2154.56930,8321.50000
DN MID RIG DIST,2154.35760,8321.80280
DN MID RIG INNR DIST,2154.02660,8322.31470
DN MID NEU SEC,2153.77910,8322.66530
DN MID RIG HOME,2153.69560,8322.79060
DN MID RIG STR,2153.45030,8323.58870
DN MID KAV STR,2110.14950,7908.75900
DN MID KAV INT STR,2110.16590,7908.88000
DN MID L XING,2110.21190,7909.04040
DN MID KAV ADV STR,2110.31190,7909.23500
DN MID A:DJA2,2110.74370,7909.65110
DN MID A:DJA2X,2111.22820,7910.04730
DN MID A:DJA4,2111.69160,7910.46590
DN MID A:DJA6,2112.11410,7910.96710
DN MID KP HOME,2112.51920,7911.46470
DN MID KP STR,2112.74240,7912.04730
DN MID KP ADV STR,2112.78730,7912.15950
DN MID A:DJA8,2112.85360,7912.33010
DN MID A:DJA10,2113.08810,7912.92780
DN MID KNHN HOME,2113.34780,7913.49640
DN MID KNHN STR,2113.54660,7914.47330
DN MID KNHN ADV STR,2113.67500,7914.93530
DN MID DJ OPEN,2113.81090,7915.43100
DN MID A:DJA12,2113.86400,7915.62420
DN MID A:DJA14,2114.05200,7916.31210
DN MID SAL HOME,2114.18280,7916.97900
DN MID L XING,2114.17880,7917.09570
DN MID SAL STR,2114.15450,7917.77440
DN MID L XING,2114.14860,7917.94950
DN MID SAL ADV STR,2114.14450,7918.08990
DN MID A:DJA20,2114.12500,7918.77390
DN MID A:DJA22,2114.12180,7919.34540
DN MID L XING,2114.14270,7919.48900
DN MID A:DJA24,2114.25350,7920.03950
DN MID CHCR HOME,2114.37070,7920.66590
DN MID CHCR STR,2114.52330,7921.48790
DN MID L XING,2114.55440,7921.64730
DN MID CHCR ADV STR,2114.59280,7921.83690
DN MID A:DJA30,2114.73150,7922.52020
DN MID A:DJA32,2114.84220,7923.08500
DN MID SA G:DJA34,2114.97740,7923.68150
DN MID L XING,2115.01590,7923.79780
DN MID TAR HOME,2115.23590,7924.43090
DN MID L XING,2115.31150,7924.63500
DN MID TAR STR,2115.52360,7925.24570
DN MID TAR ADV STR,2115.56020,7925.37320
DN MID A:DJA36,2115.67420,7926.17930
DN MID DJ OPEN,2115.68100,7926.40090
DN MID A:DJA38,2115.69810,7926.95360
